employee_id,first_name,last_name,birthday,address,phone_number,sss_num,philhealth_num,tin_num,pagibig_num,status,position,supervisor,basic_salary,sss_c,rice_s,phone_a,clothing_a,grosssemi-monthly_rate,hourly_rate,username,password,role
0001,Manuel III ,Garcia,10/11/1983,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270,44-4506057-3,820126853951,442-605-657-000,691295330870,Regular,Chief Executive Officer,N/A,90000,1350,1500,2000,1000,45000,535.71,MGarcia,P@ssword,Admin
0002,Antonio ,Lim,6/19/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,"Garcia, Manuel III",60000,1350,1500,2000,1000,30000,357.14,ALim,P@ssword,Employee
0003,Bianca Sofia ,Aquino,8/4/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,"Garcia, Manuel III",60000,1350,1500,2000,1000,30000,357.14,BAquino,P@ssword,Employee
0004,Isabella ,Reyes,6/16/1994,"460 Solanda Street Intramuros 1000, Manila",786-868-477,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,"Garcia, Manuel III",60000,1350,1500,2000,1000,30000,357.14,IReyes,P@ssword,Employee
0005,Eduard ,Hernandez,9/23/1989,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,957436191812,031-702-374-000,952347222457,Regular,IT Operations and Systems,"Lim, Antonio",52670,1350,1500,1000,1000,26335,313.51,EHernandez,P@ssword,Employee
0006,Andrea Mae ,Villanueva,2/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,49-1632020-8,382189453145,317-674-022-000,441093369646,Regular,HR Manager,"Lim, Antonio",52670,1350,1500,1000,1000,26335,313.51,AVillanueva,P@ssword,Employee
0007,Brad ,San Jose,3/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,239192926939,672-474-690-000,210850209964,Regular,HR Team Leader,"Villanueva, Andrea Mae",42975,1350,1500,800,800,21488,255.8,BSanjose,P@ssword,Admin
0008,Alice ,Romualdez,5/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,545652640232,888-572-294-000,211385556888,Regular,HR Rank and File,"San, Jose Brad",22500,1013,1500,500,500,11250,133.93,ARomualdez,P@ssword,Admin
0009,Rosie ,Atienza,9/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,708988234853,604-997-793-000,260107732354,Regular,HR Rank and File,"San, Jose Brad",22500,1013,1500,500,500,11250,133.93,RAtienza,P@ssword,Admin
0010,Roderick,Alvaro,3/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,578114853194,525-420-419-000,799254095212,Regular,Accounting Head,"Aquino, Bianca Sofia ",52670,1350,1500,1000,1000,26335,313.51,RAlvaro,P@ssword,Admin
0011,Anthony ,Salcedo,9/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,"Alvaro, Roderick",50825,1350,1500,1000,1000,25413,302.53,ASalcedo,P@ssword,Employee
0012,Josie ,Lopez,1/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,"Salcedo, Anthony",38475,1350,1500,800,800,19238,229.02,JLopez,P@ssword,Employee
0013,Martha ,Farala,1/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1080,1500,500,500,12000,142.86,MFrala,P@ssword,Employee
0014,Leila ,Martinez,7/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1080,1500,500,500,12000,142.86,LMartinez,P@ssword,Employee
0015,Fredrick ,Romualdez,3/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,"Lim, Antonio",53500,1350,1500,1000,1000,26750,318.45,FRomualdez,P@ssword,Employee
0016,Christian ,Mata,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,"Romualdez, Fredrick ",42975,1350,1500,800,800,21488,255.8,CMata,P@ssword,Employee
0017,Selena ,De Leon,2/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,"Romualdez, Fredrick ",41850,1350,1500,800,800,20925,249.11,SDeleon,P@ssword,Employee
0018,Allison ,San Jose,6/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,"Mata, Christian",22500,1013,1500,500,500,11250,133.93,ASanjose,P@ssword,Admin
0019,Cydney ,Rosario,10/6/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,"Mata, Christian",22500,1013,1500,500,500,11250,133.93,CRosario,P@ssword,Admin
0020,Mark ,Bautista,2/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,"Mata, Christian",23250,1058,1500,500,500,11625,138.39,MBautista,P@ssword,Admin
0021,Darlene ,Lazaro,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,"Mata, Christian",23250,1058,1500,500,500,11625,138.39,DLazaro,P@ssword,Employee
0022,Kolby ,Delos Santos,2/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,"Mata, Christian",24000,1080,1500,500,500,12000,142.86,KDelossantos,P@ssword,Employee
0023,Vella ,Santos,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,"Mata, Christian",22500,1013,1500,500,500,11250,133.93,VSantos,P@ssword,Employee
0024,Tomas,Del Rosario,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,"Mata, Christian",22500,1013,1500,500,500,11250,133.93,TDelrosario,P@ssword,Employee
0025,Jacklyn ,Tolentino,5/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,"De Leon, Selena",24000,1080,1500,500,500,12000,142.86,JTolentino,P@ssword,Employee
0026,Percival ,Gutierrez,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639382265,502-995-671-000,210897095686,Probationary,Account Rank and File,"De Leon, Selena",24750,1125,1500,500,500,12375,147.32,PGutierrez,P@ssword,Employee
0027,Garfield ,Manalaysay,8/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909286264,336-676-445-000,211274476563,Probationary,Account Rank and File,"De Leon, Selena",24750,1125,1500,500,500,12375,147.32,GManalaysay,P@ssword,Employee
0028,Lizeth ,Villegas,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934389652994,210-395-397-000,122238077997,Probationary,Account Rank and File,"De Leon, Selena",24000,1080,1500,500,500,12000,142.86,LVillegas,P@ssword,Employee
0029,Carol ,Ramos,8/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830469744,395-032-717-000,212141893454,Probationary,Account Rank and File,"De Leon, Selena",22500,1013,1500,500,500,11250,133.93,CRamos,P@ssword,Employee
0030,Emelia ,Maceda,4/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465087894112,215-973-013-000,515012579765,Probationary,Account Rank and File,"De Leon, Selena",22500,1013,1500,500,500,11250,133.93,EMaceda,P@ssword,Employee
0031,Delia ,Aguilar,1/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451303068,599-312-588-000,110018813465,Probationary,Account Rank and File,"De Leon, Selena",22500,1013,1500,500,500,11250,133.93,DAguilar,P@ssword,Employee
0032,John Rafael ,Castro,2/9/1992,"Hi-way, Yati, Liloan Cebu",332-424-955 ,26-7145133-4,601644902402,404-768-309-000,697764069311,Regular,Sales & Marketing,"Reyes, Isabella",52670,1350,1500,1000,1000,26335,313.51,JCastro,P@ssword,Employee
0033,Carlos Ian ,Martinez,11/16/1990,"Bulala, Camalaniugan",078-854-208,11-5062972-7,380685387212,256-436-296-000,993372963726,Regular,Supply Chain and Logistics,"Reyes, Isabella",52670,1350,1500,1000,1000,26335,313.51,CMartinez,P@ssword,Employee
0034,Beatriz ,Santos,8/7/1990,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,918460050077,911-529-713-000,874042259378,Regular,Customer Service and Relations,"Reyes, Isabella",52670,1350,1500,1000,1000,26335,313.51,BSantos,P@ssword,Employee
