employee_id,first_name,last_name,date,time_in,time_out
001,Manuel III ,Garcia,,,
002,Antonio ,Lim,,,
003,Bianca Sofia ,Aquino,,,
004,Isabella ,Reyes,,,
005,Eduard ,Hernandez,,,
006,Andrea Mae ,Villanueva,,,
007,Brad ,San Jose,,,
008,Alice ,Romualdez,,,
009,Rosie ,Atienza,,,
010,Roderick,Alvaro,,,
011,Anthony ,Salcedo,,,
012,Josie ,Lopez,,,
013,Martha ,Farala,,,
014,Leila ,Martinez,,,
015,Fredrick ,Romualdez,,,
016,Christian ,Mata,,,
017,Selena ,De Leon,,,
018,Allison ,San Jose,,,
019,Cydney ,Rosario,,,
020,Mark ,Bautista,,,
021,Darlene ,Lazaro,,,
022,Kolby ,Delos Santos,,,
023,Vella ,Santos,,,
024,Tomas,Del Rosario,,,
025,Jacklyn ,Tolentino,,,
026,Percival ,Gutierrez,,,
027,Garfield ,Manalaysay,,,
028,Lizeth ,Villegas,,,
029,Carol ,Ramos,,,
030,Emelia ,Maceda,,,
031,Delia ,Aguilar,,,
032,John Rafael ,Castro,,,
033,Carlos Ian ,Martinez,,,
034,Beatriz ,Santos,,,
